book_id,source_file_path,author,title,chap_regex,author_key,book_len
805,../DS5001/NLPProjectGutenberg/final-set\F.SCOTT_FITZGERALD_THIS_SIDE_OF_PARADISE-pg805.txt,"F.SCOTT, FITZGERALD",THIS SIDE OF PARADISE,^\s*CHAPTER\s\d+\. | INTERLUDE,fitzgerald,81172
4368,../DS5001/NLPProjectGutenberg/final-set\F.SCOTT_FITZGERALD_FLAPPERS_AND_PHILOSOPHERS-pg4368.txt,"F.SCOTT, FITZGERALD",FLAPPERS AND PHILOSOPHERS,^\s*CHAPTER\s+[IVXLCM]+$,fitzgerald,61801
6695,../DS5001/NLPProjectGutenberg/final-set\F.SCOTT_FITZGERALD_TALES_OF_THE_JAZZ_AGE-pg6695.txt,"F.SCOTT, FITZGERALD",TALES OF THE JAZZ AGE,^^\s*CHAPTER\s+[IVXLCM]+,fitzgerald,86901
64317,../DS5001/NLPProjectGutenberg/final-set\F.SCOTT_FITZGERALD_GREAT_GATSBY-pg64317.txt,"F.SCOTT, FITZGERALD",GREAT GATSBY,^\s*[IVXLCM]+$,fitzgerald,48355
