book_id,chap_id,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,author,title,doc
144,1,-0.5261190204513658,-0.08628463144980289,0.13277733393451763,-0.18775382721111633,0.022715960728652406,0.019848298384882078,0.10319739456914959,0.12471187582893913,0.09610270163011171,-0.10137544613296602,"VIRGINIA, WOOLF",THE VOYAGE OUT,THE VOYAGE OUT
144,2,-0.4941404325597097,-0.13490768343380005,0.1777766146092362,-0.08782129176322614,-0.0015314472551320683,0.016481522035163437,0.13735998196858484,0.21154888250156406,0.11228755238231179,-0.12422974993332954,"VIRGINIA, WOOLF",THE VOYAGE OUT,THE VOYAGE OUT
144,3,-0.5239283578701028,-0.07107041265018443,0.05358020862659257,-0.012660898250721189,-0.03779890557116328,-0.008701347156462879,0.05969701722081877,0.30138460934395084,0.11145702483831016,-0.12254316705949367,"VIRGINIA, WOOLF",THE VOYAGE OUT,THE VOYAGE OUT
144,4,-0.5691774995060133,-0.11270041471491818,0.13069467613098712,0.02893479505872237,-0.04102242431483964,0.06594239699199228,0.09644193771648571,0.13022086142360337,0.03137654688736233,-0.07296752255810868,"VIRGINIA, WOOLF",THE VOYAGE OUT,THE VOYAGE OUT
144,5,-0.37862583991718474,-0.07223280530407775,0.11780323297853906,-0.12728650242352588,0.0315826008801767,-0.08416127752511582,0.05731428532204744,0.1884829665483061,0.07417533068435321,-0.13227397755566056,"VIRGINIA, WOOLF",THE VOYAGE OUT,THE VOYAGE OUT
144,6,-0.444249890417819,-0.14143702579131331,0.18193128711000914,0.0688310706050247,-0.04613735222780335,0.11960065387723758,0.10480534467899963,0.14598694699876824,0.045365952095505244,-0.04402535364532201,"VIRGINIA, WOOLF",THE VOYAGE OUT,THE VOYAGE OUT
144,7,-0.43117811329871625,-0.06934190086834587,0.1626465758862195,-0.2928239498316191,0.08046896329617065,0.09257106915221999,0.17917267465484654,0.16403950927159625,-0.03925302873464997,-0.13830958169733187,"VIRGINIA, WOOLF",THE VOYAGE OUT,THE VOYAGE OUT
144,8,-0.4886112604744288,0.016749985311516235,0.05363114603391713,-0.16206635044378406,-0.09659023449121902,-0.021625261947370775,0.06364969768514944,0.01024400183514076,0.16093057186841594,-0.02834421996359737,"VIRGINIA, WOOLF",THE VOYAGE OUT,THE VOYAGE OUT
144,9,-0.6024828436575189,-0.08296754188977674,0.09360093978039052,-0.10024905820234155,-0.029568117383211162,-0.008839884034297908,0.04592917784014133,0.1257343369382269,0.10872632090607341,-0.10342102724330646,"VIRGINIA, WOOLF",THE VOYAGE OUT,THE VOYAGE OUT
144,10,-0.5217488494048,-0.0999843613289993,0.20643578925162298,-0.13128966539238093,-0.04280916753141152,0.022546520553357034,0.16931803406333065,0.002137153522173878,0.02653999361813057,-0.008161260946366107,"VIRGINIA, WOOLF",THE VOYAGE OUT,THE VOYAGE OUT
144,11,-0.545074208467383,-0.11988555429065734,0.13675225681690345,-0.03497126517084613,0.046192998720954594,0.11151842978380154,0.12420563477043756,0.1301630038327289,-0.06397339637697645,-0.02077301858426228,"VIRGINIA, WOOLF",THE VOYAGE OUT,THE VOYAGE OUT
144,12,-0.5464108814234918,-0.05916577108280154,0.028934590999898813,0.04377684258039892,-0.006200849860367718,-0.15030873337942463,0.3211786458128041,0.15186335864215836,0.06330899818059081,0.014237494946898518,"VIRGINIA, WOOLF",THE VOYAGE OUT,THE VOYAGE OUT
144,13,-0.4017898188764457,-0.12359496390063675,0.18251822284327202,-0.1316059303733626,0.048569102034897255,0.05457514370979305,0.16637569500578936,0.02682007286697652,-0.08554929590381478,0.013393943855951503,"VIRGINIA, WOOLF",THE VOYAGE OUT,THE VOYAGE OUT
144,14,-0.6362914958219019,-0.07853202152744392,0.07407645818026998,0.046463856442764004,-0.01005028989820582,-0.03407325254453378,0.053980879794150984,0.19410309359833205,0.015734492480435756,0.03614097427253803,"VIRGINIA, WOOLF",THE VOYAGE OUT,THE VOYAGE OUT
144,15,-0.562622772044711,-0.10857820795437921,0.1346267936064534,-0.00567872289932149,-0.08898103792876634,-0.042437807864646286,0.09638514953777116,0.18959457929668316,-0.002555624794221021,-0.053230381258982024,"VIRGINIA, WOOLF",THE VOYAGE OUT,THE VOYAGE OUT
144,16,-0.5547101747328921,-0.11313570947565688,0.17416218721676152,-0.02508019904586329,-0.015672356046901197,0.11129680250891788,0.12511946809797503,0.17249668178022937,0.04291860473887446,-0.05108304322516455,"VIRGINIA, WOOLF",THE VOYAGE OUT,THE VOYAGE OUT
144,17,-0.5808905081688349,-0.12275801242209616,0.1714135550559082,-0.018284393369691135,-0.02715711512992889,-0.06813980263937774,0.05416665871691662,0.05683832160208193,0.0018430595719405307,-0.07444936367078268,"VIRGINIA, WOOLF",THE VOYAGE OUT,THE VOYAGE OUT
144,18,-0.34786164936578756,-0.11422129931310587,0.16771699975852214,0.030355503107878358,-0.07571047949686364,0.035257670494938734,-0.07959730444773987,0.21027651516804385,-0.04276770040622752,-0.11877015651870675,"VIRGINIA, WOOLF",THE VOYAGE OUT,THE VOYAGE OUT
144,19,-0.6023100100332215,-0.10650863485299433,0.15743082857184373,0.03441912816300328,-0.1068492636943312,-0.10289037447948532,0.013263096960685013,0.09549189785565883,0.016638170235962466,-0.03727810092999784,"VIRGINIA, WOOLF",THE VOYAGE OUT,THE VOYAGE OUT
