book_id,chap_id,term_str,n,tf,tfidf,max_pos,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
144,1,absent,1,0.0033112582781456954,0.011278120396277605,JJ,0.0,0.0,0.0,0.0,0.0,0.011278120396277605,0.0,0.0,-0.011278120396277605
144,1,accident,1,0.0033112582781456954,0.012344107465441057,NN,0.0,0.0,0.0,0.012344107465441057,0.0,0.012344107465441057,0.012344107465441057,0.0,-0.012344107465441057
144,1,adventure,1,0.0033112582781456954,0.012344107465441057,NN,0.0,0.012344107465441057,0.0,0.0,0.0,0.0,0.0,0.0,0.012344107465441057
144,1,afraid,1,0.0033112582781456954,0.005545725556634559,JJ,0.0,0.0,0.0,0.005545725556634559,0.0,0.0,0.0,0.0,-0.005545725556634559
144,1,agitated,1,0.0033112582781456954,0.015655365743586752,JJ,0.015655365743586752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015655365743586752
144,1,agreed,1,0.0033112582781456954,0.006568739599313872,VBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006568739599313872,0.006568739599313872
144,1,angry,1,0.0033112582781456954,0.009153795796650044,JJ,0.009153795796650044,0.0,0.009153795796650044,0.0,0.0,0.0,0.0,0.0,-0.009153795796650044
144,1,attentive,1,0.0033112582781456954,0.016158687245060428,JJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016158687245060428,0.016158687245060428
144,1,aunt,3,0.009933774834437087,0.02541055085881676,NNP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02541055085881676,0.02541055085881676
144,1,authority,1,0.0033112582781456954,0.009809224199338485,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009809224199338485,0.009809224199338485
144,1,awful,1,0.0033112582781456954,0.007779499441422083,JJ,0.007779499441422083,0.0,0.007779499441422083,0.007779499441422083,0.0,0.007779499441422083,0.0,0.0,-0.007779499441422083
144,1,bad,1,0.0033112582781456954,0.0042879504877056055,JJ,0.0042879504877056055,0.0,0.0042879504877056055,0.0042879504877056055,0.0,0.0042879504877056055,0.0,0.0,-0.0042879504877056055
144,1,beating,1,0.0033112582781456954,0.011090757719567778,VBG,0.011090757719567778,0.0,0.0,0.011090757719567778,0.0,0.011090757719567778,0.0,0.0,-0.011090757719567778
144,1,beautiful,2,0.006622516556291391,0.008400588317390078,JJ,0.0,0.0,0.0,0.0,0.008400588317390078,0.0,0.0,0.0,0.008400588317390078
144,1,beauty,3,0.009933774834437087,0.016986740528800694,NN,0.0,0.0,0.0,0.0,0.016986740528800694,0.0,0.0,0.0,0.016986740528800694
144,1,believing,1,0.0033112582781456954,0.014402015997713475,VBG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014402015997713475,0.014402015997713475
144,1,bigoted,1,0.0033112582781456954,0.02665512764718729,JJ,0.02665512764718729,0.0,0.02665512764718729,0.02665512764718729,0.0,0.02665512764718729,0.0,0.0,-0.02665512764718729
144,1,black,2,0.006622516556291391,0.007489968954807728,JJ,0.0,0.0,0.0,0.0,0.0,0.007489968954807728,0.0,0.0,-0.007489968954807728
144,1,blaze,2,0.006622516556291391,0.032317374490120857,NN,0.032317374490120857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032317374490120857
144,1,bottom,2,0.006622516556291391,0.019903671722464295,NN,0.0,0.0,0.0,0.0,0.0,0.019903671722464295,0.0,0.0,-0.019903671722464295
144,1,boy,1,0.0033112582781456954,0.004422526595312711,NN,0.0,0.0,0.004422526595312711,0.0,0.0,0.0,0.0,0.0,-0.004422526595312711
144,1,brilliant,1,0.0033112582781456954,0.009670746796376143,JJ,0.0,0.009670746796376143,0.0,0.0,0.009670746796376143,0.0,0.0,0.009670746796376143,0.009670746796376143
144,1,broken,1,0.0033112582781456954,0.006359488518230447,VBN,0.006359488518230447,0.0,0.0,0.006359488518230447,0.0,0.006359488518230447,0.0,0.0,-0.006359488518230447
144,1,brother,1,0.0033112582781456954,0.007340922302270926,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007340922302270926,0.007340922302270926
144,1,burnt,1,0.0033112582781456954,0.011473132611686773,NN,0.0,0.0,0.011473132611686773,0.0,0.0,0.0,0.0,0.0,-0.011473132611686773
144,1,case,2,0.006622516556291391,0.010977027328952326,NN,0.0,0.0,0.0,0.010977027328952326,0.0,0.010977027328952326,0.0,0.0,-0.010977027328952326
144,1,child,2,0.006622516556291391,0.012059800390428348,NN,0.0,0.012059800390428348,0.0,0.0,0.012059800390428348,0.0,0.0,0.0,0.012059800390428348
144,1,comfort,1,0.0033112582781456954,0.009809224199338485,NN,0.0,0.009809224199338485,0.0,0.0,0.009809224199338485,0.0,0.0,0.009809224199338485,0.009809224199338485
144,1,commendable,1,0.0033112582781456954,0.02665512764718729,JJ,0.0,0.0,0.0,0.0,0.02665512764718729,0.0,0.0,0.02665512764718729,0.02665512764718729
144,1,concerned,1,0.0033112582781456954,0.009951835861232147,VBN,0.0,0.0,0.0,0.009951835861232147,0.0,0.009951835861232147,0.0,0.0,0.0
144,1,confess,1,0.0033112582781456954,0.012847428966914733,VB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012847428966914733,0.0
144,1,confirmed,1,0.0033112582781456954,0.01404799214368529,VBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01404799214368529,0.01404799214368529
144,1,constraint,1,0.0033112582781456954,0.015655365743586752,NN,0.015655365743586752,0.0,0.0,0.015655365743586752,0.0,0.015655365743586752,0.0,0.0,-0.015655365743586752
144,1,contradict,1,0.0033112582781456954,0.020032611090895897,VB,0.020032611090895897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020032611090895897
144,1,council,1,0.0033112582781456954,0.016158687245060428,NN,0.0,0.016158687245060428,0.0,0.0,0.0,0.0,0.0,0.016158687245060428,0.016158687245060428
144,1,cowardly,1,0.0033112582781456954,0.018966624021732447,RB,0.0,0.0,0.0,0.018966624021732447,0.0,0.0,0.0,0.0,-0.018966624021732447
144,1,cradle,1,0.0033112582781456954,0.02140690744612386,NN,0.0,0.02140690744612386,0.0,0.0,0.02140690744612386,0.0,0.0,0.02140690744612386,0.02140690744612386
144,1,credit,1,0.0033112582781456954,0.012847428966914733,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012847428966914733,0.012847428966914733
144,1,crushed,1,0.0033112582781456954,0.013410094534604507,VBD,0.013410094534604507,0.0,0.013410094534604507,0.013410094534604507,0.0,0.013410094534604507,0.0,0.0,-0.013410094534604507
144,1,damn,1,0.0033112582781456954,0.006939245824714194,NN,0.006939245824714194,0.0,0.006939245824714194,0.0,0.0,0.0,0.0,0.0,-0.006939245824714194
144,1,danger,1,0.0033112582781456954,0.014784390889832468,NN,0.0,0.0,0.0,0.014784390889832468,0.0,0.014784390889832468,0.0,0.0,-0.014784390889832468
144,1,darkness,2,0.006622516556291391,0.013878491649428388,NN,0.013878491649428388,0.0,0.0,0.013878491649428388,0.0,0.013878491649428388,0.0,0.0,-0.013878491649428388
144,1,daughter,4,0.013245033112582781,0.029701902349575593,NN,0.0,0.0,0.0,0.0,0.029701902349575593,0.0,0.0,0.0,0.029701902349575593
144,1,deal,1,0.0033112582781456954,0.0067875779783131175,NN,0.0,0.0067875779783131175,0.0,0.0,0.0067875779783131175,0.0,0.0067875779783131175,0.0067875779783131175,0.0067875779783131175
144,1,denied,1,0.0033112582781456954,0.013718403820669016,VBD,0.0,0.0,0.0,0.0,0.0,0.013718403820669016,0.0,0.0,-0.013718403820669016
144,1,deny,1,0.0033112582781456954,0.013718403820669016,VB,0.013718403820669016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013718403820669016
144,1,die,1,0.0033112582781456954,0.009032849187295362,VB,0.0,0.0,0.0,0.009032849187295362,0.0,0.009032849187295362,0.0,0.0,-0.009032849187295362
