book_id,chap_id,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
144,1,5.482456177328246e-05,5.4824562777102706e-05,5.482456223731943e-05,5.482456218641117e-05,5.482456192151455e-05,5.4824561920969854e-05,5.482456281000149e-05,5.482456229483701e-05,5.482456279033335e-05,5.4824562562585534e-05,5.4824562418853096e-05,5.482456226824908e-05,5.482456247429327e-05,5.482456238610893e-05,5.482456255834008e-05,5.482456213440157e-05,0.004222928272065501,5.48245624705744e-05,0.9947902296051923,5.482456275701675e-05
144,2,5.428881682962625e-05,5.4288817678897755e-05,5.4288817294622244e-05,5.428881719603538e-05,5.428881714161821e-05,5.4288817199051165e-05,5.428881750061233e-05,5.428881697176331e-05,0.08572051841683757,5.428881763858563e-05,5.42888173788291e-05,5.428881732501884e-05,5.428881768849515e-05,5.4288817600907515e-05,5.428881714080369e-05,5.428881737656152e-05,0.12728777193379592,5.4288817286814186e-05,0.7860687997545867,5.42888175315814e-05
144,3,5.875440698222624e-05,5.875440760104767e-05,5.875440771129024e-05,5.87544072502449e-05,5.8754407149973025e-05,5.875440717100126e-05,5.8754407716496144e-05,5.87544074189367e-05,5.875440788056445e-05,5.8754407799433294e-05,5.875440765412838e-05,5.875440748965083e-05,5.875440779227583e-05,5.875440761494565e-05,5.875440756591545e-05,5.875440764627022e-05,5.875440787505752e-05,5.875440786502289e-05,0.9988836662561187,5.8754407696755716e-05
144,4,5.7803468532990666e-05,5.780346946808033e-05,5.7803469118000334e-05,5.7803468881569613e-05,5.780346930455814e-05,5.7803468853167054e-05,5.780346928783623e-05,5.780346895741532e-05,5.780346964100703e-05,5.78034691923949e-05,5.780346926786818e-05,5.780346909195727e-05,5.780346934695143e-05,5.780346921031173e-05,5.7803468993963804e-05,5.780346887945472e-05,0.023337930746472512,5.7803469229494285e-05,0.9756216068089067,5.780346936373506e-05
144,5,0.00010245901692366613,0.00010245901884777419,0.00010245901821346126,0.00010245901800714766,0.00010245901889082612,0.00010245901733494373,0.00010245901874051701,0.00010245901765792985,0.00010245901845376661,0.0001024590184040416,0.00010245901817419005,0.19745629492335706,0.00010245901882883324,0.00010245901850631103,0.00010245901843013974,0.00010245901769509057,0.00010245901883637306,0.00010245901848661059,0.8006994427475251,0.00010245901868620923
144,6,9.433962303247184e-05,9.433962546044775e-05,9.433962408557118e-05,9.433962437445347e-05,9.433962437938529e-05,9.433962367061036e-05,9.433962491190973e-05,9.433962453527122e-05,0.09692890051035774,9.433962509197356e-05,9.433962417078791e-05,9.433962402383691e-05,9.433962409395656e-05,9.433962435814366e-05,9.433962432954492e-05,9.433962362953406e-05,0.20059902355031395,9.433962444536107e-05,0.7008683023268729,9.433962386198515e-05
144,7,9.523809594626117e-05,9.52380974066594e-05,9.523809706786939e-05,9.523809637512386e-05,9.52380968409938e-05,9.523809602597443e-05,9.52380975038861e-05,9.52380975943667e-05,9.523809733974327e-05,0.0267015297980505,9.523809843815831e-05,9.523809629324379e-05,9.523809750803496e-05,9.523809784828522e-05,9.523809698006729e-05,9.523809728118744e-05,0.15066672588874855,9.523809663730219e-05,0.8210126966626085,9.523809750529335e-05
144,8,9.633911430041939e-05,9.633911569988573e-05,9.63391152470986e-05,9.63391153419525e-05,9.633911483726275e-05,9.633911471212107e-05,9.633911587017972e-05,9.63391157443612e-05,9.633911576590648e-05,9.633911617730381e-05,9.633911564178589e-05,9.63391154336327e-05,9.633911617442468e-05,9.633911535687817e-05,9.633911584435066e-05,9.633911533083916e-05,9.633911581918238e-05,9.633911588185319e-05,0.998169556805249,9.63391155717209e-05
144,9,4.3440486946961985e-05,4.344048725816902e-05,4.344048723673511e-05,4.344048713727263e-05,4.3440487408233604e-05,4.344048698710485e-05,4.3440487405701795e-05,4.344048710169543e-05,4.34404874223217e-05,4.344048746375707e-05,4.344048729221321e-05,4.3440487218285076e-05,4.3440487462483286e-05,4.344048730612727e-05,4.344048717999084e-05,4.3440487172378757e-05,4.344048786818356e-05,4.3440487381637325e-05,0.9991746307413165,4.344048743416285e-05
144,10,6.410256435177053e-05,6.410256550151304e-05,6.410256526197463e-05,6.410256503233234e-05,6.410256490104023e-05,6.410256482490812e-05,6.410256597871484e-05,6.410256535830527e-05,6.410256558221189e-05,6.410256564991164e-05,6.410256547332228e-05,6.410256522067437e-05,6.410256548484912e-05,6.410256508046115e-05,6.410256540274855e-05,6.410256503993615e-05,0.20166154304899198,6.410256531742597e-05,0.7971846107758707,6.41025656752203e-05
144,11,6.501950611196002e-05,6.50195072513712e-05,6.501950697902123e-05,6.5019506534521e-05,6.501950642210992e-05,6.50195063039523e-05,6.501950697413137e-05,6.501950710307813e-05,6.501950732259898e-05,6.501950707719303e-05,6.501950688205052e-05,6.501950670163469e-05,6.501950734801303e-05,6.501950709653047e-05,6.501950676182065e-05,6.501950665228041e-05,0.09452186626419075,6.501950679495009e-05,0.9043077826121861,6.501950730593543e-05
144,12,4.1528239422854216e-05,4.152823996595077e-05,4.152823994259317e-05,4.152823978287284e-05,4.152823969764637e-05,4.1528239656455996e-05,4.152823995052654e-05,4.1528239763427793e-05,4.152824014456199e-05,4.15282400363864e-05,4.152824005505879e-05,4.15282399599437e-05,4.152823992321157e-05,4.15282399679638e-05,4.152824009984976e-05,4.152823964604989e-05,4.152824027172053e-05,4.15282401269375e-05,0.9992109634415711,4.152824001493792e-05
144,13,0.00012658227886886417,0.00012658228124276898,0.0001265822804890637,0.00012658228013259575,0.00012658228106820577,0.0001265822798040409,0.0001265822808420381,0.00012658228055189153,0.9975949366606672,0.0001265822810440122,0.0001265822805609734,0.00012658228051134405,0.0001265822813461341,0.00012658228057152557,0.00012658228032342317,0.000126582280131952,0.000126582281243549,0.00012658228045042772,0.00012658228910749785,0.00012658228104242894
144,14,4.77554922517085e-05,4.775549275463433e-05,4.775549279854818e-05,4.775549263425739e-05,4.775549295171782e-05,4.7755492482887234e-05,4.7755492955152846e-05,4.7755492659999757e-05,4.7755493604109625e-05,4.775549287795997e-05,4.775549303858291e-05,4.775549275495154e-05,4.775549273073939e-05,4.7755492775990314e-05,4.775549279202185e-05,4.7755492462510386e-05,0.06102508452533004,4.775549335202002e-05,0.9381153166040797,4.7755492712449006e-05
144,15,5.701254306239624e-05,5.7012543650875994e-05,5.701254359197356e-05,5.701254342977463e-05,5.701254338048824e-05,5.701254334022316e-05,5.7012543686554086e-05,5.7012543389826607e-05,5.7012544049740706e-05,5.7012543832416175e-05,5.7012543681118005e-05,5.701254373485539e-05,5.7012543826910305e-05,5.701254379751579e-05,5.7012543510846574e-05,5.70125436578126e-05,0.03606484395927165,5.701254371118353e-05,0.962908930255632,5.70125437618775e-05
144,16,5.2137643707203106e-05,5.2137644274349114e-05,5.2137644274768415e-05,5.213764402454609e-05,5.2137644219126665e-05,5.2137643886658495e-05,5.2137644525871e-05,5.213764414133844e-05,5.2137644627245286e-05,5.213764450055096e-05,5.2137644306215374e-05,5.213764425857556e-05,5.213764442803216e-05,5.213764427096001e-05,5.2137644244377415e-05,5.2137644285865916e-05,0.2614645088107292,5.213764453405607e-05,0.7375970135921404,5.2137644620692056e-05
144,17,3.9184953156124615e-05,3.918495369985121e-05,3.918495354251362e-05,3.9184953519526706e-05,3.918495346044465e-05,3.91849534240256e-05,3.91849537320649e-05,3.9184953414215066e-05,3.918495389414127e-05,3.918495356866133e-05,3.918495367062912e-05,3.918495361980607e-05,3.918495368055224e-05,3.918495365686721e-05,3.9184953533442644e-05,3.918495351928718e-05,0.1308387668370637,3.918495361623829e-05,0.8684559039984948,3.918495373311397e-05
144,18,0.00019455253060513222,0.00019455253356855082,0.0001945525324694969,0.00019455253103207957,0.00019455253248111887,0.0001945525302446272,0.00019455253240201548,0.00019455253181591717,0.00019455253447735372,0.000194552532397265,0.00019455253322708197,0.00019455253173480006,0.00019455253286333025,0.0001945525325442759,0.0001945525310456772,0.00019455253219697628,0.33548198283413344,0.00019455253205598587,0.6610160715852887,0.00019455253341602057
144,19,4.194630903438553e-05,4.194630988416826e-05,4.194630948703248e-05,4.194630925913531e-05,4.194630944982656e-05,4.1946309400380073e-05,4.194630959183135e-05,4.1946309442264375e-05,4.1946309662999806e-05,4.194630976486926e-05,4.194630948032455e-05,4.194630955111126e-05,4.1946309511239264e-05,4.194630951542804e-05,4.194630970985649e-05,4.194630926310869e-05,0.12243722495598666,4.1946309716060295e-05,0.8768077414728508,4.1946309438677706e-05
