book_id,source_file_path,author,title,chap_regex,author_key,book_len
144,../DS5001/NLPProjectGutenberg/final-set\VIRGINIA_WOOLF_THE_VOYAGE_OUT-pg144.txt,"VIRGINIA, WOOLF",THE VOYAGE OUT,^\s*CHAPTER\s+[IVXLCM]+,woolf,136619
1245,../DS5001/NLPProjectGutenberg/final-set\VIRGINIA_WOOLF_NIGHT_AND_DAY-pg1245.txt,"VIRGINIA, WOOLF",NIGHT AND DAY,^\s*CHAPTER\s+[IVXLCM]+,woolf,166966
5670,../DS5001/NLPProjectGutenberg/final-set\VIRGINIA_WOOLF_JACOBS_ROOM-pg5670.txt,"VIRGINIA, WOOLF",JACOBS ROOM,^\s*CHAPTER\s,woolf,55469
29220,../DS5001/NLPProjectGutenberg/final-set\VIRGINIA_WOOLF_MONDAY_OR_TUESDAY-pg29220.txt,"VIRGINIA, WOOLF",MONDAY OR TUESDAY,^\b[A-Z\s]+\b$,woolf,18419
63022,../DS5001/NLPProjectGutenberg/final-set\VIRGINIA_WOOLF_MR_BENNETT_AND_MRS_BROWN-pg63022.txt,"VIRGINIA, WOOLF",MR BENNETT AND MRS BROWN,^\s*Chapter\s\d+,woolf,7949
63107,../DS5001/NLPProjectGutenberg/final-set\VIRGINIA_WOOLF_MRS_DALLOWAY_IN_BOND_STREET-pg63107.txt,"VIRGINIA, WOOLF",MRS DALLOWAY IN BOND STREET,^[MRS DALLOWAY IN BOND STREET\s]+$,woolf,3074
